bvid,title,author,pubdate,play,view,reply,danmaku,duration,url,keyword,page,source
BV1xx411c7mu,最终鬼畜蓝蓝路,TSA,1350316631,,25455423,132698,336363,318,https://www.bilibili.com/video/BV1xx411c7mu,,1,mustwatch
BV1Ss411o7vY,【红日】梁逸峰你朗诵这么屌你家里人知道吗？,吃素的狮子,1389065850,,24062184,26023,188532,175,https://www.bilibili.com/video/BV1Ss411o7vY,,1,mustwatch
BV1js411f7jY,惊艳！半年良心作★Minecraft★World of Ansesuta,火鸟台风,1372754275,,5063450,9170,57340,321,https://www.bilibili.com/video/BV1js411f7jY,,1,mustwatch
BV1gs411B7y4,主播真会玩鬼畜篇01：我是全英雄联盟最骚的骚猪!,是大腿,1462799860,,36517450,31258,169292,255,https://www.bilibili.com/video/BV1gs411B7y4,,1,mustwatch
BV12s411N7g2,史上容量最大的游戏 300GB的游戏长什么样？,神秘店长A,1532087188,,12697346,9905,15134,336,https://www.bilibili.com/video/BV12s411N7g2,,1,mustwatch
BV1fs411t7EK,【高能Rap】你从未看过的家有儿女,伊丽莎白鼠,1475301173,,31228969,31994,159562,151,https://www.bilibili.com/video/BV1fs411t7EK,,1,mustwatch
BV15W411W7NJ,千万不要跟声优斗表情包，否则你将毫无胜算,声鱼片儿,1521404348,,7396381,2781,22286,133,https://www.bilibili.com/video/BV15W411W7NJ,,1,mustwatch
BV1xx411c7XW,电磁炮真是太可爱了,アイリス,1345387488,,18373213,73940,470223,96,https://www.bilibili.com/video/BV1xx411c7XW,,1,mustwatch
BV1vx411K7jb,【散人】大型励志剧 娱乐圈小助理养成计划（20.2.20更新 叶琛番外 程语柔表白遭拒绝）,逍遥散人,1411718027,,39476380,167899,3579290,162686,https://www.bilibili.com/video/BV1vx411K7jb,,1,mustwatch
BV1Ls41127sG,【小明&老王】此物天下绝响,此物天下绝响,1444452522,,21998168,34502,262880,358,https://www.bilibili.com/video/BV1Ls41127sG,,1,mustwatch
BV1GW411g7mc,【面筋哥×波澜哥】我的烤面筋，融化你的心！,还有一天就放假了,1521797114,,62741354,115798,502125,151,https://www.bilibili.com/video/BV1GW411g7mc,,1,mustwatch
BV1Hx411V7n9,【三无】病名为爱,三无Marblue,1506704033,,14281067,22199,170289,232,https://www.bilibili.com/video/BV1Hx411V7n9,,1,mustwatch
BV1hs411Q7zf,【电音单曲】我是papi酱,伊丽莎白鼠,1457267935,,46462023,93306,471295,156,https://www.bilibili.com/video/BV1hs411Q7zf,,1,mustwatch
BV1zs411S7sz,洛天依，言和原创《普通DISCO》,ilem,1426903265,,22979690,404469,275673,206,https://www.bilibili.com/video/BV1zs411S7sz,,1,mustwatch
BV1Us411d71V,【全明星Rap】黑喂狗！,伊丽莎白鼠,1449225788,,59472641,132846,773974,220,https://www.bilibili.com/video/BV1Us411d71V,,1,mustwatch
BV1EW41167Yv,【英雄联盟】2018全球总决赛MV—登峰造极境 Rise,英雄联盟,1537966833,,27830314,48952,81695,211,https://www.bilibili.com/video/BV1EW41167Yv,,1,mustwatch
BV1px411N7Yd,【火影忍者】用战斗来祭奠这个世界 ！！,花宫二橙,1406268769,,22101899,19250,218575,229,https://www.bilibili.com/video/BV1px411N7Yd,,1,mustwatch
BV1Yx411A7wM,【成龙】我的洗发液,绯色toy,1424421074,,26543484,54812,344495,170,https://www.bilibili.com/video/BV1Yx411A7wM,,1,mustwatch
BV1Js411o76u,【炮姐/AMV】我永远都会守护在你的身边！,暗猫の祝福,1382776414,,25979303,328226,1499551,689,https://www.bilibili.com/video/BV1Js411o76u,,1,mustwatch
BV1Xs411X7wh,【矢泽妮可】妮可酱，给我来一发最带感的Niconiconi！,约谈人参,1454752852,,12189629,21485,283721,105,https://www.bilibili.com/video/BV1Xs411X7wh,,1,mustwatch
BV1nx411F7Jf,秋山澪与折木奉太郎的爱情故事 // Our Tapes,Umika,1346064390,,9458319,56514,138596,282,https://www.bilibili.com/video/BV1nx411F7Jf,,1,mustwatch
BV1Dt411r7Tv,我不仅开口说话和你吵架，还要把你周围的空气吃干净让你窒息...,狂风桑,1546002128,,9045874,5843,11385,129,https://www.bilibili.com/video/BV1Dt411r7Tv,,1,mustwatch
BV1xx411c79H,【東方】Bad Apple!! ＰＶ【影絵】,折射,1256995125,,14239854,613454,175267,219,https://www.bilibili.com/video/BV1xx411c79H,,1,mustwatch
BV1Bx411c7hB,危险的黑子,冴羽獠,1292687074,,10232209,27326,204159,91,https://www.bilibili.com/video/BV1Bx411c7hB,,1,mustwatch
BV1ix411c7Ye,【穿越】绿光,小太,1288098949,,4536553,20631,72045,152,https://www.bilibili.com/video/BV1ix411c7Ye,,1,mustwatch
BV1Vs411y7TM,【小明v老王】大忠若奸,此物天下绝响,1468052235,,15501546,32422,136308,227,https://www.bilibili.com/video/BV1Vs411y7TM,,1,mustwatch
BV1rs411S736,【去违和】周杰伦献唱核爆神曲aLIEz 与霍元甲的Mashup版本 aHUOz！,Bi哩Bi哩汪,1426079635,,14519192,26971,134091,630,https://www.bilibili.com/video/BV1rs411S736,,1,mustwatch
BV11p411o73u,电影最TOP 100：永远的喜剧之王！星爷周星驰电影全盘点,电影最TOP,1527087199,,6537586,8991,82347,3702,https://www.bilibili.com/video/BV11p411o73u,,1,mustwatch
BV1Js411Z7Nq,【北大力南逸峰】我的故事（完整版）,捐血武神,1394353934,,9077272,21441,121579,344,https://www.bilibili.com/video/BV1Js411Z7Nq,,1,mustwatch
BV1nx411F7fM,雪姨迷幻电音首单MV《你有本事抢男人》,男孩臭臭,1346831072,,3800759,4410,29584,198,https://www.bilibili.com/video/BV1nx411F7fM,,1,mustwatch
BV1YW411n7aW,【高燃/混剪/漫威/1080P】全宇宙最棒的团队：复仇者联盟,萌萌中自有天意,1518175660,,4678292,4316,23669,182,https://www.bilibili.com/video/BV1YW411n7aW,,1,mustwatch
BV1Ds411m7c5,【国际网骗】模仿7国口音玩H1Z1,Gluneko,1440257750,,4979860,7680,103375,2585,https://www.bilibili.com/video/BV1Ds411m7c5,,1,mustwatch
BV1Fx411w7GK,【魂】银魂——武士之魂,N.ec鱼丸,1310172962,,17873915,278759,804138,150,https://www.bilibili.com/video/BV1Fx411w7GK,,1,mustwatch
BV1cs411S7DX,燃起来！同步率爆表！当《西游记之大圣归来》MV遇到戴荃老师原创歌曲《悟空》,喵星人听歌,1435562249,,5903135,8764,49771,198,https://www.bilibili.com/video/BV1cs411S7DX,,1,mustwatch
BV1cb411V7Lm,《复联4》前21部漫威电影，完整的时间线剧情大串联！,努力的Lorre,1555732827,,9888278,11283,73092,2229,https://www.bilibili.com/video/BV1cb411V7Lm,,1,mustwatch
BV1Kt41147o3,【桃核x麦麥籽】改革春风吹满地！念诗之王x原创编舞x鬼畜第二弹,桃核叫我桃道长,1546772459,,3950450,4979,7104,214,https://www.bilibili.com/video/BV1Kt41147o3,,1,mustwatch
BV1Mt411D73n,【2018】年度影视混剪 Ready Story 2018,BenZammer,1544328036,,5064144,8522,28783,426,https://www.bilibili.com/video/BV1Mt411D73n,,1,mustwatch
BV1fx411c7v6,【BILIBILI大合作】无限循环祭,平安夜的噩梦,1308902255,,4400018,11167,259562,960,https://www.bilibili.com/video/BV1fx411c7v6,,1,mustwatch
BV1dx411P79c,【燃向】得入暴雪门，无悔游人生（更新OW归来版）,暴雪大法好,1417506765,,4683699,8436,43991,646,https://www.bilibili.com/video/BV1dx411P79c,,1,mustwatch
BV1es41197ai,【2016拜年祭单品】九九八十一【乐正绫 feat.洛天依】,没有龟壳的乌龟,1456070400,,16577755,138152,212516,292,https://www.bilibili.com/video/BV1es41197ai,,1,mustwatch
BV1hx411w7MG,【拜年祭】【合唱】only my bilibili,秋风AKIKAZE,1328201002,,2970276,15919,45462,258,https://www.bilibili.com/video/BV1hx411w7MG,,1,mustwatch
BV1Ys411H7QK,【敖厂长10】烂尾的游戏冒险(雅达利寻剑),敖厂长,1531410541,,5927739,52612,194417,1546,https://www.bilibili.com/video/BV1Ys411H7QK,,1,mustwatch
BV1Kx411y7TJ,【2017 Bilibili Dancing Festival 主题曲】交织together,舞蹈区小锦鲤,1487257498,,3120932,8389,34491,960,https://www.bilibili.com/video/BV1Kx411y7TJ,,1,mustwatch
BV1ts411D7mf,【Animenz】动漫钢琴演奏合集,Animenzzz,1430717851,,8965069,7756,95536,32049,https://www.bilibili.com/video/BV1ts411D7mf,,1,mustwatch
BV1Sx41117dD,【2017拜年祭单品】万神纪【星尘原创曲】,写歌的海鲜面,1486699200,,8206841,65483,74166,307,https://www.bilibili.com/video/BV1Sx41117dD,,1,mustwatch
BV1tx411P7N4,冰雪奇缘X守护者联盟【误解向】Frozen Guardian,时海,1413792115,,4530849,12133,43477,215,https://www.bilibili.com/video/BV1tx411P7N4,,1,mustwatch
BV1fs411k7Kj,感觉身体被掏空by彩虹室内合唱团,上海彩虹室内合唱团,1469585220,,4810728,4765,19396,348,https://www.bilibili.com/video/BV1fs411k7Kj,,1,mustwatch
BV1Sx411T7L3,【世界版】Blessing【原创PV】,茶理理理子,1404383079,,7331247,24193,118845,273,https://www.bilibili.com/video/BV1Sx411T7L3,,1,mustwatch
BV1es41197hA,【2016拜年祭单品】婕纶二重奏,DDF,1456070400,,5355512,11794,18023,255,https://www.bilibili.com/video/BV1es41197hA,,1,mustwatch
